Order ID,Order Date,Region,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1023,2024-04-07,South,Home Office,Office Supplies,Storage,Storage Item 15,630.31,2,0.0,70.62
ORD-1024,2024-07-21,East,Home Office,Furniture,Bookcases,Bookcases Item 15,1097.95,4,0.3,-97.81
ORD-1025,2023-03-11,East,Consumer,Furniture,Chairs,Chairs Item 5,1939.47,1,0.1,514.11
ORD-1026,2024-05-12,Central,Home Office,Office Supplies,Paper,Paper Item 9,1879.6,4,0.3,633.23
ORD-1027,2024-02-21,West,Corporate,Office Supplies,Art,Art Item 7,1199.82,4,0.0,423.69
ORD-1028,2024-02-25,Central,Corporate,Office Supplies,Art,Art Item 44,186.1,8,0.0,-15.34
ORD-1029,2023-12-14,East,Corporate,Office Supplies,Binders,Binders Item 13,100.0,2,0.0,-0.48
ORD-1030,2023-07-07,West,Corporate,Furniture,Furnishings,Furnishings Item 16,783.47,5,0.2,-29.14
ORD-1031,2024-10-29,East,Consumer,Furniture,Furnishings,Furnishings Item 6,1659.19,9,0.0,23.31
ORD-1032,2024-05-07,South,Corporate,Furniture,Tables,Tables Item 4,569.06,4,0.2,71.48
ORD-1033,2023-09-29,East,Corporate,Furniture,Furnishings,Furnishings Item 28,290.44,8,0.1,81.71
ORD-1034,2023-10-31,West,Consumer,Office Supplies,Art,Art Item 38,158.36,4,0.0,62.1
ORD-1035,2023-02-21,Central,Consumer,Office Supplies,Binders,Binders Item 33,1546.77,10,0.2,-124.93
ORD-1036,2023-03-24,East,Home Office,Office Supplies,Paper,Paper Item 39,20.99,3,0.0,6.07
ORD-1037,2024-08-06,South,Consumer,Furniture,Tables,Tables Item 39,1416.65,4,0.3,336.32
ORD-1038,2024-08-20,South,Home Office,Furniture,Chairs,Chairs Item 21,1544.83,10,0.3,-240.33
ORD-1039,2023-09-29,Central,Consumer,Technology,Accessories,Accessories Item 43,723.35,7,0.0,-94.38
ORD-1040,2023-03-16,South,Corporate,Office Supplies,Storage,Storage Item 40,1727.58,1,0.2,300.56
ORD-1041,2023-08-07,East,Home Office,Office Supplies,Binders,Binders Item 9,668.49,9,0.1,-108.21
ORD-1042,2023-10-19,West,Corporate,Technology,Phones,Phones Item 35,628.85,3,0.2,-3.08
ORD-1043,2024-07-21,East,Home Office,Office Supplies,Storage,Storage Item 9,1461.92,5,0.0,266.85
ORD-1044,2024-07-20,East,Home Office,Technology,Phones,Phones Item 19,1775.55,3,0.1,147.95
ORD-1045,2024-12-04,Central,Consumer,Office Supplies,Paper,Paper Item 32,247.99,5,0.3,56.53
ORD-1046,2024-03-09,East,Home Office,Technology,Phones,Phones Item 1,1523.96,5,0.0,208.43
ORD-1047,2024-03-28,Central,Consumer,Technology,Accessories,Accessories Item 36,1544.22,9,0.2,148.67
ORD-1048,2023-06-02,East,Home Office,Furniture,Chairs,Chairs Item 24,1050.24,9,0.0,59.36
ORD-1049,2023-02-12,South,Consumer,Office Supplies,Paper,Paper Item 3,60.58,5,0.1,-8.19
ORD-1050,2023-04-16,West,Home Office,Technology,Accessories,Accessories Item 27,72.54,6,0.3,13.19
ORD-1051,2023-07-01,West,Consumer,Office Supplies,Paper,Paper Item 12,635.57,7,0.0,66.83
ORD-1052,2023-09-12,South,Home Office,Office Supplies,Storage,Storage Item 45,1816.06,5,0.0,-91.57
ORD-1053,2023-08-16,East,Corporate,Furniture,Furnishings,Furnishings Item 23,826.66,4,0.2,209.42
ORD-1054,2024-11-06,West,Consumer,Technology,Accessories,Accessories Item 22,465.31,4,0.2,-71.57
ORD-1055,2024-10-18,Central,Corporate,Technology,Phones,Phones Item 44,586.61,9,0.2,-60.58
ORD-1056,2023-09-25,East,Consumer,Office Supplies,Storage,Storage Item 17,1860.1,3,0.3,529.89
ORD-1057,2023-11-18,South,Corporate,Furniture,Chairs,Chairs Item 33,1270.47,7,0.3,410.2
ORD-1058,2023-02-15,West,Corporate,Furniture,Furnishings,Furnishings Item 34,1609.31,7,0.0,-141.71
ORD-1059,2023-03-13,Central,Corporate,Office Supplies,Paper,Paper Item 21,1786.19,6,0.3,220.78
ORD-1060,2023-11-13,Central,Home Office,Office Supplies,Binders,Binders Item 26,1616.81,7,0.1,545.92
ORD-1061,2024-03-06,West,Consumer,Office Supplies,Storage,Storage Item 40,642.83,7,0.0,
ORD-1062,2023-01-01,South,Home Office,Office Supplies,Storage,Storage Item 14,463.59,5,0.1,26.08
ORD-1063,2024-03-28,South,Corporate,Technology,Machines,Machines Item 31,1637.85,4,0.3,518.28
ORD-1064,2024-06-11,East,Corporate,Office Supplies,Paper,Paper Item 6,23.83,10,0.1,2.54
ORD-1065,2023-05-31,West,Consumer,Furniture,Bookcases,Bookcases Item 16,840.65,1,0.0,-56.1
ORD-1066,2024-10-06,South,Corporate,Technology,Phones,Phones Item 46,248.53,10,0.0,0.64
ORD-1067,2023-09-07,South,Corporate,Office Supplies,Art,Art Item 49,1886.39,3,0.0,-11.47
ORD-1068,2024-12-13,West,Consumer,Furniture,Furnishings,Furnishings Item 4,1042.39,9,0.2,231.21
ORD-1069,2023-05-17,East,Corporate,Office Supplies,Paper,Paper Item 36,733.62,8,0.3,281.03
ORD-1070,2024-05-31,South,Home Office,Office Supplies,Storage,Storage Item 29,1925.27,7,0.3,-94.2
ORD-1071,2023-09-11,South,Corporate,Furniture,Furnishings,Furnishings Item 32,999.52,5,0.3,-19.46
ORD-1072,2023-03-21,Central,Corporate,Office Supplies,Paper,Paper Item 18,576.83,5,0.0,-102.6
ORD-1073,2023-06-04,East,Consumer,Technology,Machines,Machines Item 45,1223.03,4,0.2,124.27
ORD-1074,2024-02-22,East,Corporate,Furniture,Tables,Tables Item 30,112.44,6,0.3,-3.69
ORD-1075,2024-02-03,West,Corporate,Technology,Phones,Phones Item 49,1817.45,10,0.0,-102.25
ORD-1076,2023-12-27,South,Consumer,Office Supplies,Art,Art Item 27,298.34,5,0.2,27.95
ORD-1077,2023-10-07,South,Consumer,Office Supplies,Paper,Paper Item 2,1971.44,7,0.2,-107.97
ORD-1078,2023-06-19,South,Home Office,Technology,Machines,Machines Item 40,1347.55,8,0.0,346.28
ORD-1079,2024-07-31,South,Home Office,Office Supplies,Binders,Binders Item 42,482.9,1,0.0,114.41
ORD-1080,2023-02-21,South,Consumer,Technology,Accessories,Accessories Item 21,741.89,5,0.2,133.08
ORD-1081,2024-01-24,Central,Corporate,Furniture,Furnishings,Furnishings Item 17,1270.72,5,0.2,154.35
ORD-1082,2024-07-06,East,Home Office,Furniture,Furnishings,Furnishings Item 15,189.68,1,0.1,57.13
ORD-1083,2023-09-11,East,Consumer,Office Supplies,Binders,Binders Item 40,648.35,4,0.0,-57.11
ORD-1084,2024-11-16,West,Corporate,Furniture,Tables,Tables Item 14,91.14,2,0.3,14.08
ORD-1085,2024-09-12,Central,Consumer,Technology,Machines,Machines Item 50,1358.35,10,0.0,-258.15
ORD-1086,2023-01-27,East,Home Office,Furniture,Bookcases,Bookcases Item 44,1029.07,5,0.3,-65.97
ORD-1087,2024-08-29,West,Consumer,Technology,Copiers,Copiers Item 45,1293.89,4,0.0,-123.41
ORD-1088,2024-06-29,East,Corporate,Technology,Phones,Phones Item 5,1384.97,7,0.1,44.38
ORD-1089,2024-05-16,East,Corporate,Office Supplies,Storage,Storage Item 24,1874.09,2,0.2,-220.18
ORD-1090,2023-06-30,West,Corporate,Office Supplies,Art,Art Item 40,688.72,9,0.1,-90.85
ORD-1091,2024-08-29,South,Corporate,Office Supplies,Art,Art Item 16,1850.14,5,0.1,603.89
ORD-1092,2024-04-20,South,Consumer,Furniture,Bookcases,Bookcases Item 43,523.3,10,0.3,102.56
ORD-1093,2023-11-29,East,Corporate,Technology,Machines,Machines Item 14,1636.27,3,0.2,217.82
ORD-1094,2024-09-02,Central,Corporate,Technology,Machines,Machines Item 1,1064.0,5,0.3,-58.4
ORD-1095,2024-02-21,East,Consumer,Office Supplies,Paper,Paper Item 49,195.27,8,0.3,66.07
ORD-1096,2023-01-18,South,Corporate,Furniture,Furnishings,Furnishings Item 15,1801.83,2,0.1,324.08
ORD-1097,2024-08-18,Central,Home Office,Technology,Accessories,Accessories Item 36,684.67,6,0.2,6.52
ORD-1098,2024-07-17,South,Home Office,Office Supplies,Storage,Storage Item 45,1454.65,6,0.1,492.06
ORD-1099,2023-08-25,Central,Corporate,Technology,Machines,Machines Item 21,1775.3,2,0.0,475.65
ORD-1100,2024-05-10,West,Consumer,Furniture,Tables,Tables Item 49,1287.64,5,0.3,-192.52
ORD-1101,2023-10-31,East,Consumer,Office Supplies,Storage,Storage Item 12,331.64,4,0.1,112.47
ORD-1102,2023-02-16,West,Corporate,Technology,Phones,Phones Item 19,1216.79,1,0.3,-236.64
ORD-1103,2023-01-13,South,Consumer,Office Supplies,Paper,Paper Item 31,211.93,10,0.1,41.98
ORD-1104,2023-02-22,Central,Consumer,Technology,Copiers,Copiers Item 8,20.07,5,0.2,-2.08
ORD-1105,2024-08-13,South,Consumer,Furniture,Furnishings,Furnishings Item 10,1101.98,1,0.0,237.08
ORD-1106,2023-05-02,East,Consumer,Office Supplies,Storage,Storage Item 39,1307.4,9,0.2,-85.55
ORD-1107,2024-03-29,South,Corporate,Office Supplies,Paper,Paper Item 28,1427.24,5,0.3,-82.28
ORD-1108,2024-10-02,East,Consumer,Technology,Phones,Phones Item 43,657.55,4,0.1,163.0
ORD-1109,2024-07-19,West,Consumer,Furniture,Tables,Tables Item 1,1302.77,2,0.0,403.25
ORD-1110,2023-02-03,South,Corporate,Technology,Copiers,Copiers Item 46,1318.65,4,0.1,185.91
ORD-1111,2023-08-28,East,Home Office,Technology,Copiers,Copiers Item 43,196.41,5,0.3,4.05
ORD-1112,2023-08-19,East,Home Office,Furniture,Furnishings,Furnishings Item 10,537.75,3,0.1,-28.83
ORD-1113,2024-09-01,West,Corporate,Furniture,Chairs,Chairs Item 29,1946.29,10,0.1,69.79
ORD-1114,2024-02-17,Central,Home Office,Furniture,Furnishings,Furnishings Item 35,1785.17,5,0.3,318.98
ORD-1115,2023-02-10,East,Home Office,Technology,Copiers,Copiers Item 39,1591.67,7,0.1,161.69
ORD-1116,2024-11-21,East,Consumer,Technology,Phones,Phones Item 2,1158.04,10,0.3,110.61
ORD-1117,2024-04-26,East,Consumer,Office Supplies,Storage,Storage Item 18,398.53,9,0.2,93.05
ORD-1118,2024-04-26,South,Consumer,Furniture,Furnishings,Furnishings Item 22,568.74,6,0.2,-105.45
ORD-1119,2024-02-26,West,Corporate,Technology,Phones,Phones Item 43,1294.49,8,0.1,-121.34
ORD-1120,2023-11-19,South,Consumer,Technology,Phones,Phones Item 8,1881.51,5,0.1,700.59
ORD-1121,2023-02-25,South,Corporate,Technology,Phones,Phones Item 24,1830.58,4,0.3,40.45
ORD-1122,2023-07-28,South,Consumer,Office Supplies,Art,Art Item 9,40.76,5,0.3,14.55
ORD-1123,2023-01-30,South,Consumer,Technology,Copiers,Copiers Item 46,862.09,10,0.0,327.59
ORD-1124,2024-02-22,East,Home Office,Furniture,Bookcases,Bookcases Item 8,1927.6,2,0.0,601.04
ORD-1125,2023-10-26,West,Corporate,Technology,Phones,Phones Item 27,595.95,9,0.1,18.51
ORD-1126,2024-07-18,West,Corporate,Technology,Copiers,Copiers Item 13,1703.76,3,0.2,-16.78
ORD-1127,2024-02-29,East,Corporate,Office Supplies,Paper,Paper Item 18,347.29,6,0.3,46.56
ORD-1128,2024-08-16,Central,Home Office,Furniture,Bookcases,Bookcases Item 29,1872.95,8,0.0,407.59
ORD-1129,2024-07-19,Central,Corporate,Office Supplies,Art,Art Item 30,1144.42,9,0.2,-162.16
ORD-1130,2024-01-28,West,Home Office,Technology,Accessories,Accessories Item 3,1233.86,4,0.2,486.18
ORD-1131,2024-11-10,South,Corporate,Technology,Copiers,Copiers Item 3,288.77,3,0.2,32.05
ORD-1132,2023-04-13,East,Corporate,Furniture,Bookcases,Bookcases Item 1,1755.97,9,0.2,429.27
ORD-1133,2023-06-08,South,Home Office,Office Supplies,Paper,Paper Item 17,1397.06,2,0.2,309.44
ORD-1134,2024-11-21,East,Corporate,Technology,Copiers,Copiers Item 21,725.39,9,0.2,-17.3
ORD-1135,2023-03-12,East,Home Office,Office Supplies,Art,Art Item 15,1620.63,4,0.1,463.61
ORD-1136,2024-10-10,South,Consumer,Office Supplies,Binders,Binders Item 11,1735.47,2,0.2,603.85
ORD-1137,2023-11-29,East,Consumer,Office Supplies,Storage,Storage Item 23,1027.57,1,0.1,103.69
ORD-1138,2024-06-27,West,Consumer,Technology,Copiers,Copiers Item 44,1598.61,7,0.3,303.7
ORD-1139,2024-09-16,West,Consumer,Furniture,Tables,Tables Item 44,1406.91,7,0.3,390.38
ORD-1140,2024-04-17,West,Consumer,Furniture,Furnishings,Furnishings Item 17,1781.11,5,0.2,4.98
ORD-1141,2024-11-24,South,Corporate,Office Supplies,Binders,Binders Item 5,757.41,9,0.0,-108.77
ORD-1142,2024-03-10,Central,Home Office,Technology,Machines,Machines Item 20,1160.78,5,0.2,-207.12
ORD-1143,2023-08-31,South,Consumer,Furniture,Furnishings,Furnishings Item 23,936.54,7,0.3,117.62
ORD-1144,2024-11-05,Central,Consumer,Office Supplies,Storage,Storage Item 1,580.22,7,0.1,89.64
ORD-1145,2023-08-24,South,Corporate,Office Supplies,Binders,Binders Item 15,70.7,10,0.1,-12.56
ORD-1146,2024-11-06,Central,Home Office,Office Supplies,Paper,Paper Item 41,1646.98,3,0.0,26.54
ORD-1147,2023-02-04,Central,Corporate,Office Supplies,Binders,Binders Item 47,262.85,10,0.1,29.79
ORD-1148,2024-03-01,Central,Corporate,Furniture,Chairs,Chairs Item 9,1542.29,3,0.0,-108.74
ORD-1149,2023-09-21,Central,Consumer,Office Supplies,Storage,Storage Item 48,1249.55,8,0.1,-185.92
ORD-1150,2023-05-25,South,Consumer,Technology,Phones,Phones Item 36,112.85,4,0.2,13.41
ORD-1151,2023-09-28,South,Consumer,Technology,Phones,Phones Item 30,1085.86,9,0.0,198.12
ORD-1152,2024-01-16,South,Home Office,Technology,Machines,Machines Item 31,1454.92,2,0.0,560.89
ORD-1153,2023-03-06,West,Home Office,Furniture,Bookcases,Bookcases Item 42,1037.44,8,0.1,-6.46
ORD-1154,2023-02-08,West,Consumer,Technology,Phones,Phones Item 8,1592.42,5,0.2,-59.72
ORD-1155,2024-04-09,West,Corporate,Furniture,Tables,Tables Item 27,883.55,6,0.3,-135.12
ORD-1156,2023-04-12,South,Home Office,Office Supplies,Paper,Paper Item 27,60.45,8,0.3,22.83
ORD-1157,2024-03-30,Central,Consumer,Technology,Phones,Phones Item 24,1673.6,8,0.0,364.15
ORD-1158,2024-02-12,Central,Consumer,Furniture,Bookcases,Bookcases Item 8,823.82,5,0.0,-79.11
ORD-1159,2024-10-16,West,Home Office,Technology,Phones,Phones Item 4,321.31,10,0.0,-16.02
ORD-1160,2023-07-30,West,Home Office,Technology,Accessories,Accessories Item 14,1102.96,2,0.3,252.31
ORD-1161,2023-06-01,West,Corporate,Office Supplies,Paper,Paper Item 18,1323.79,10,0.0,-42.41
ORD-1162,2023-04-23,Central,Consumer,Furniture,Tables,Tables Item 1,1910.18,1,0.0,463.67
ORD-1163,2023-06-28,Central,Consumer,Technology,Accessories,Accessories Item 9,1113.16,5,0.0,185.93
ORD-1164,2023-03-07,East,Home Office,Office Supplies,Art,Art Item 50,845.0,8,0.2,-43.4
ORD-1165,2023-08-15,South,Home Office,Technology,Phones,Phones Item 47,718.39,10,0.0,182.98
ORD-1166,2023-02-01,South,Home Office,Office Supplies,Storage,Storage Item 26,38.64,1,0.2,-5.04
ORD-1167,2024-03-30,South,Home Office,Technology,Phones,Phones Item 21,101.55,2,0.0,-17.83
ORD-1168,2023-10-09,East,Consumer,Office Supplies,Paper,Paper Item 36,1712.37,10,0.3,380.48
ORD-1169,2024-06-27,South,Home Office,Office Supplies,Storage,Storage Item 33,953.61,5,0.2,-134.74
ORD-1170,2023-04-28,East,Home Office,Office Supplies,Art,Art Item 28,988.32,9,0.0,83.1
ORD-1171,2024-04-09,South,Corporate,Technology,Accessories,Accessories Item 47,354.67,7,0.2,21.39
ORD-1172,2024-11-12,South,Corporate,Furniture,Bookcases,Bookcases Item 10,803.02,5,0.1,136.12
ORD-1173,2023-03-29,East,Consumer,Office Supplies,Art,Art Item 7,1273.84,2,0.2,-220.14
ORD-1174,2023-03-03,West,Home Office,Office Supplies,Storage,Storage Item 36,755.48,10,0.3,132.6
ORD-1175,2024-11-12,South,Corporate,Technology,Phones,Phones Item 19,1011.24,7,0.0,317.42
ORD-1176,2024-08-14,Central,Consumer,Office Supplies,Storage,Storage Item 10,1320.8,9,0.0,-135.04
ORD-1177,2023-12-25,West,Consumer,Office Supplies,Art,Art Item 8,150.43,9,0.1,27.9
ORD-1178,2024-09-28,South,Home Office,Technology,Accessories,Accessories Item 2,62.76,10,0.3,9.51
ORD-1179,2023-10-07,East,Consumer,Office Supplies,Storage,Storage Item 23,1881.06,5,0.1,273.29
ORD-1180,2024-11-04,West,Home Office,Furniture,Tables,Tables Item 10,782.46,7,0.0,145.52
ORD-1181,2024-06-27,East,Home Office,Office Supplies,Binders,Binders Item 27,921.92,4,0.2,117.43
ORD-1182,2023-11-16,West,Corporate,Technology,Machines,Machines Item 39,1883.51,6,0.3,59.63
ORD-1183,2024-09-24,West,Consumer,Furniture,Chairs,Chairs Item 18,1922.77,1,0.0,659.91
ORD-1184,2024-03-28,South,Home Office,Technology,Copiers,Copiers Item 14,399.62,7,0.1,-63.29
ORD-1185,2023-04-24,Central,Corporate,Office Supplies,Binders,Binders Item 32,210.55,5,0.3,-39.81
ORD-1186,2024-02-09,East,Consumer,Office Supplies,Storage,Storage Item 1,197.94,10,0.0,41.53
ORD-1187,2023-09-19,West,Consumer,Furniture,Bookcases,Bookcases Item 8,151.67,5,0.1,-1.31
ORD-1188,2023-05-13,South,Consumer,Furniture,Furnishings,Furnishings Item 46,1691.3,7,0.3,-314.64
ORD-1189,2023-02-13,East,Corporate,Furniture,Bookcases,Bookcases Item 30,1630.79,7,0.0,-50.37
ORD-1190,2024-02-19,South,Home Office,Furniture,Bookcases,Bookcases Item 8,245.15,7,0.1,53.45
ORD-1191,2024-09-24,Central,Consumer,Technology,Phones,Phones Item 6,1261.6,8,0.1,411.89
ORD-1192,2024-08-26,West,Corporate,Technology,Phones,Phones Item 6,1472.79,7,0.3,415.46
ORD-1193,2023-12-08,Central,Consumer,Technology,Machines,Machines Item 33,571.25,3,0.0,-53.43
ORD-1194,2023-12-26,West,Corporate,Office Supplies,Binders,Binders Item 7,1503.72,3,0.0,427.21
ORD-1195,2024-09-08,West,Consumer,Furniture,Bookcases,Bookcases Item 12,1981.11,3,0.0,94.24
ORD-1196,2024-08-16,South,Home Office,Office Supplies,Art,Art Item 42,750.32,8,0.3,199.47
ORD-1197,2024-03-26,Central,Consumer,Office Supplies,Storage,Storage Item 29,688.2,2,0.2,246.69
ORD-1198,2023-02-27,Central,Home Office,Office Supplies,Storage,Storage Item 5,1718.24,6,0.3,98.62
ORD-1199,2023-02-28,South,Consumer,Technology,Copiers,Copiers Item 5,1504.23,6,0.1,380.16
ORD-1200,2024-08-17,South,Corporate,Office Supplies,Binders,Binders Item 29,215.22,9,0.0,73.5
ORD-1201,2024-05-02,Central,Home Office,Office Supplies,Paper,Paper Item 4,1015.45,9,0.0,300.45
ORD-1202,2023-03-28,Central,Home Office,Technology,Phones,Phones Item 3,646.9,9,0.0,218.21
ORD-1203,2024-06-19,South,Home Office,Furniture,Furnishings,Furnishings Item 24,784.51,10,0.0,-151.8
ORD-1204,2023-12-13,South,Corporate,Technology,Machines,Machines Item 41,1811.71,10,0.0,-263.11
ORD-1205,2023-04-07,East,Corporate,Office Supplies,Storage,Storage Item 19,645.43,9,0.2,238.83
ORD-1206,2024-08-19,Central,Consumer,Technology,Accessories,Accessories Item 20,1901.71,3,0.1,273.97
ORD-1207,2024-12-26,West,Home Office,Office Supplies,Art,Art Item 36,1267.36,2,0.1,87.53
ORD-1208,2024-12-20,West,Home Office,Technology,Machines,Machines Item 42,593.49,9,0.0,-1.66
ORD-1209,2024-01-07,Central,Consumer,Office Supplies,Art,Art Item 14,1348.31,5,0.0,339.0
ORD-1210,2023-05-21,West,Consumer,Technology,Copiers,Copiers Item 19,1585.24,3,0.0,433.99
ORD-1211,2023-05-15,Central,Home Office,Furniture,Chairs,Chairs Item 10,191.5,10,0.2,18.51
ORD-1212,2024-03-24,West,Home Office,Furniture,Tables,Tables Item 24,124.54,1,0.2,
ORD-1213,2023-10-19,South,Home Office,Office Supplies,Paper,Paper Item 35,888.65,8,0.0,295.58
ORD-1214,2024-01-12,South,Consumer,Furniture,Bookcases,Bookcases Item 30,708.32,10,0.2,-91.91
ORD-1215,2023-07-24,South,Consumer,Technology,Copiers,Copiers Item 17,294.55,10,0.0,75.67
ORD-1216,2023-04-16,Central,Home Office,Furniture,Furnishings,Furnishings Item 19,1240.25,9,0.0,-172.8
ORD-1217,2024-06-09,Central,Corporate,Furniture,Tables,Tables Item 6,177.37,3,0.2,39.12
ORD-1218,2024-02-29,Central,Consumer,Furniture,Furnishings,Furnishings Item 33,154.8,1,0.2,45.37
ORD-1219,2024-01-19,South,Consumer,Technology,Accessories,Accessories Item 21,1415.42,4,0.0,-214.0
ORD-1220,2023-02-09,West,Consumer,Furniture,Bookcases,Bookcases Item 45,178.83,5,0.2,70.1
ORD-1221,2023-01-06,South,Home Office,Furniture,Furnishings,Furnishings Item 17,754.8,2,0.0,16.9
ORD-1222,2023-10-23,South,Consumer,Furniture,Tables,Tables Item 8,1627.47,4,0.1,599.48
ORD-1223,2024-09-29,South,Home Office,Furniture,Tables,Tables Item 8,1972.14,8,0.0,497.03
ORD-1224,2023-05-28,West,Home Office,Technology,Phones,Phones Item 1,758.76,5,0.2,-113.74
ORD-1225,2024-03-02,West,Home Office,Office Supplies,Storage,Storage Item 34,1556.52,3,0.0,210.2
ORD-1226,2024-04-26,East,Corporate,Technology,Phones,Phones Item 24,854.2,1,0.2,
ORD-1227,2023-12-20,Central,Consumer,Technology,Phones,Phones Item 50,231.28,4,0.0,22.1
ORD-1228,2023-12-27,West,Consumer,Office Supplies,Storage,Storage Item 42,32.59,9,0.1,2.65
ORD-1229,2023-07-06,South,Home Office,Furniture,Furnishings,Furnishings Item 46,122.04,3,0.0,-15.71
ORD-1230,2023-02-14,Central,Consumer,Technology,Phones,Phones Item 21,243.88,4,0.0,46.22
ORD-1231,2023-02-07,South,Corporate,Technology,Copiers,Copiers Item 23,1494.63,4,0.1,224.23
ORD-1232,2024-01-12,Central,Consumer,Furniture,Bookcases,Bookcases Item 48,1924.72,7,0.2,47.97
ORD-1233,2024-05-23,Central,Consumer,Technology,Copiers,Copiers Item 34,578.57,8,0.1,185.81
ORD-1234,2024-03-16,South,Consumer,Technology,Phones,Phones Item 35,454.96,10,0.0,171.94
ORD-1235,2023-12-02,East,Consumer,Technology,Machines,Machines Item 29,34.19,5,0.1,
ORD-1236,2024-03-30,West,Home Office,Office Supplies,Art,Art Item 3,95.89,6,0.2,32.09
ORD-1237,2024-10-16,South,Corporate,Office Supplies,Storage,Storage Item 43,1060.13,1,0.0,419.58
ORD-1238,2024-11-26,Central,Home Office,Office Supplies,Art,Art Item 10,156.86,3,0.0,20.75
ORD-1239,2023-03-10,East,Consumer,Office Supplies,Art,Art Item 24,1938.91,4,0.1,220.76
ORD-1240,2024-04-05,West,Home Office,Technology,Phones,Phones Item 29,1262.5,6,0.1,274.53
ORD-1241,2023-11-18,Central,Corporate,Furniture,Tables,Tables Item 8,914.54,5,0.0,161.45
ORD-1242,2024-02-01,South,Home Office,Furniture,Tables,Tables Item 17,1172.79,9,0.0,399.56
ORD-1243,2023-10-20,West,Home Office,Technology,Copiers,Copiers Item 8,100.44,8,0.0,-3.16
ORD-1244,2024-12-31,South,Consumer,Furniture,Chairs,Chairs Item 44,1901.32,8,0.0,635.34
ORD-1245,2024-07-09,East,Home Office,Technology,Machines,Machines Item 11,916.76,5,0.1,157.76
ORD-1246,2023-08-18,Central,Home Office,Office Supplies,Paper,Paper Item 9,561.99,2,0.0,-48.96
ORD-1247,2024-07-21,East,Corporate,Furniture,Furnishings,Furnishings Item 30,932.76,10,0.1,11.2
ORD-1248,2023-11-13,East,Consumer,Office Supplies,Paper,Paper Item 34,1171.48,7,0.2,-179.66
ORD-1249,2023-11-21,East,Consumer,Technology,Copiers,Copiers Item 30,1949.05,2,0.2,763.49
ORD-1250,2024-10-17,West,Home Office,Office Supplies,Storage,Storage Item 50,1399.34,10,0.0,170.24
ORD-1251,2024-06-14,East,Consumer,Furniture,Furnishings,Furnishings Item 11,625.96,3,0.1,180.45
ORD-1252,2024-06-15,West,Corporate,Furniture,Bookcases,Bookcases Item 17,1372.62,5,0.0,-140.6
ORD-1253,2023-11-07,West,Home Office,Furniture,Bookcases,Bookcases Item 6,1822.75,10,0.3,535.02
ORD-1254,2024-11-05,West,Consumer,Office Supplies,Paper,Paper Item 22,1900.1,10,0.3,447.34
